draw,metric,n,spearman_rho,null_kind
107,"pooled (non-independent, see caveat)",273,-0.7697931427004246,uniform
108,cyclomatic_complexity_p90,91,-0.596352922439879,uniform
108,design_smell_density_per_kloc,91,-0.8862944970932547,uniform
108,implementation_smell_density_per_kloc,91,-0.8556469113309741,uniform
108,"pooled (non-independent, see caveat)",273,-0.7580430716548026,uniform
109,cyclomatic_complexity_p90,92,-0.7640349863214271,uniform
109,design_smell_density_per_kloc,91,-0.891757585410528,uniform
109,implementation_smell_density_per_kloc,91,-0.793325317131049,uniform
109,"pooled (non-independent, see caveat)",274,-0.7844573017989795,uniform
110,cyclomatic_complexity_p90,92,-0.7808962355026393,uniform
110,design_smell_density_per_kloc,91,-0.8430516843195032,uniform
110,implementation_smell_density_per_kloc,91,-0.8525231129408579,uniform
110,"pooled (non-independent, see caveat)",274,-0.8214606981473509,uniform
111,cyclomatic_complexity_p90,90,-0.6232456681894885,uniform
111,design_smell_density_per_kloc,91,-0.8517321016166283,uniform
111,implementation_smell_density_per_kloc,91,-0.8382691373557681,uniform
111,"pooled (non-independent, see caveat)",272,-0.7471345986193716,uniform
112,cyclomatic_complexity_p90,92,-0.6914113975262975,uniform
112,design_smell_density_per_kloc,91,-0.7975631122083301,uniform
112,implementation_smell_density_per_kloc,91,-0.8351475963337819,uniform
112,"pooled (non-independent, see caveat)",274,-0.7549641405815211,uniform
113,cyclomatic_complexity_p90,92,-0.7496859707933571,uniform
113,design_smell_density_per_kloc,91,-0.8536911682726767,uniform
113,implementation_smell_density_per_kloc,91,-0.8167545938350181,uniform
113,"pooled (non-independent, see caveat)",274,-0.7845124989919033,uniform
114,cyclomatic_complexity_p90,92,-0.6563660743183884,uniform
114,design_smell_density_per_kloc,91,-0.7737357649120012,uniform
114,implementation_smell_density_per_kloc,91,-0.7928156777805206,uniform
114,"pooled (non-independent, see caveat)",274,-0.716917759766565,uniform
115,cyclomatic_complexity_p90,92,-0.6748454911147758,uniform
115,design_smell_density_per_kloc,91,-0.8504897666640121,uniform
115,implementation_smell_density_per_kloc,91,-0.8802029001664291,uniform
115,"pooled (non-independent, see caveat)",274,-0.7831547120236355,uniform
116,cyclomatic_complexity_p90,92,-0.7922876562427754,uniform
116,design_smell_density_per_kloc,91,-0.7939905789287238,uniform
116,implementation_smell_density_per_kloc,91,-0.8628148926835314,uniform
116,"pooled (non-independent, see caveat)",274,-0.8043319484259418,uniform
117,cyclomatic_complexity_p90,92,-0.7399144607559818,uniform
117,design_smell_density_per_kloc,91,-0.8480847336147168,uniform
117,implementation_smell_density_per_kloc,91,-0.8310864077592592,uniform
117,"pooled (non-independent, see caveat)",274,-0.7934358654854701,uniform
118,cyclomatic_complexity_p90,92,-0.7185197743596066,uniform
118,design_smell_density_per_kloc,91,-0.8852273632237,uniform
118,implementation_smell_density_per_kloc,91,-0.7816991694471209,uniform
118,"pooled (non-independent, see caveat)",274,-0.7634814904408181,uniform
119,cyclomatic_complexity_p90,91,-0.6934862239210066,uniform
119,design_smell_density_per_kloc,91,-0.760213426773911,uniform
119,implementation_smell_density_per_kloc,91,-0.8788357787650904,uniform
119,"pooled (non-independent, see caveat)",273,-0.7702472222279627,uniform
120,cyclomatic_complexity_p90,91,-0.699456119255608,uniform
120,design_smell_density_per_kloc,91,-0.7248387353667278,uniform
120,implementation_smell_density_per_kloc,91,-0.8211165879645482,uniform
120,"pooled (non-independent, see caveat)",273,-0.7412305030954116,uniform
121,cyclomatic_complexity_p90,92,-0.716978514842329,uniform
121,design_smell_density_per_kloc,91,-0.8173289798518755,uniform
121,implementation_smell_density_per_kloc,91,-0.8376639406270157,uniform
121,"pooled (non-independent, see caveat)",274,-0.78548629428358,uniform
122,cyclomatic_complexity_p90,92,-0.6374523176511385,uniform
122,design_smell_density_per_kloc,91,-0.8477502588197818,uniform
122,implementation_smell_density_per_kloc,91,-0.8405147357440337,uniform
122,"pooled (non-independent, see caveat)",274,-0.7476510826662559,uniform
123,cyclomatic_complexity_p90,92,-0.7464165716223298,uniform
123,design_smell_density_per_kloc,91,-0.8074383791691995,uniform
123,implementation_smell_density_per_kloc,91,-0.807802259931995,uniform
123,"pooled (non-independent, see caveat)",274,-0.7819266486751186,uniform
124,cyclomatic_complexity_p90,91,-0.7351308737925928,uniform
124,design_smell_density_per_kloc,91,-0.7716970614000159,uniform
124,implementation_smell_density_per_kloc,91,-0.8055725877734334,uniform
124,"pooled (non-independent, see caveat)",273,-0.7500385580953274,uniform
125,cyclomatic_complexity_p90,92,-0.6625130042769621,uniform
125,design_smell_density_per_kloc,91,-0.8103687186429879,uniform
125,implementation_smell_density_per_kloc,91,-0.7690855955215442,uniform
125,"pooled (non-independent, see caveat)",274,-0.7282427328996616,uniform
126,cyclomatic_complexity_p90,92,-0.7514603208852859,uniform
126,design_smell_density_per_kloc,91,-0.8369196464123596,uniform
126,implementation_smell_density_per_kloc,91,-0.8201132354931956,uniform
126,"pooled (non-independent, see caveat)",274,-0.7841370976280697,uniform
127,cyclomatic_complexity_p90,92,-0.654323794262917,uniform
127,design_smell_density_per_kloc,91,-0.795699609779406,uniform
127,implementation_smell_density_per_kloc,91,-0.8126311430763138,uniform
127,"pooled (non-independent, see caveat)",274,-0.7306931802040161,uniform
128,cyclomatic_complexity_p90,92,-0.703466239230615,uniform
128,design_smell_density_per_kloc,91,-0.8328614830896762,uniform
128,implementation_smell_density_per_kloc,91,-0.8697075147914859,uniform
128,"pooled (non-independent, see caveat)",274,-0.7871478317863861,uniform
129,cyclomatic_complexity_p90,91,-0.6578436056696926,uniform
129,design_smell_density_per_kloc,91,-0.8479413872740303,uniform
129,implementation_smell_density_per_kloc,91,-0.8538927686954029,uniform
129,"pooled (non-independent, see caveat)",273,-0.7627110446866814,uniform
130,cyclomatic_complexity_p90,92,-0.6096974554197554,uniform
130,design_smell_density_per_kloc,91,-0.8962331767141833,uniform
130,implementation_smell_density_per_kloc,91,-0.8399367726229894,uniform
130,"pooled (non-independent, see caveat)",274,-0.7577236360465063,uniform
131,cyclomatic_complexity_p90,92,-0.7030169922552306,uniform
131,design_smell_density_per_kloc,91,-0.8162140638687584,uniform
131,implementation_smell_density_per_kloc,91,-0.855580949044028,uniform
131,"pooled (non-independent, see caveat)",274,-0.7713701016337706,uniform
132,cyclomatic_complexity_p90,91,-0.5954227651340203,uniform
132,design_smell_density_per_kloc,90,-0.8861036678554907,uniform
132,implementation_smell_density_per_kloc,90,-0.7666853248164368,uniform
132,"pooled (non-independent, see caveat)",271,-0.7139191827317615,uniform
133,cyclomatic_complexity_p90,92,-0.6286363811505413,uniform
133,design_smell_density_per_kloc,91,-0.8091900931751215,uniform
133,implementation_smell_density_per_kloc,91,-0.7883085547742855,uniform
133,"pooled (non-independent, see caveat)",274,-0.7259382543632751,uniform
134,cyclomatic_complexity_p90,92,-0.6697285883821649,uniform
134,design_smell_density_per_kloc,91,-0.7554511427888828,uniform
134,implementation_smell_density_per_kloc,91,-0.8170412693939565,uniform
134,"pooled (non-independent, see caveat)",274,-0.7383607148428543,uniform
135,cyclomatic_complexity_p90,92,-0.6645140408742024,uniform
135,design_smell_density_per_kloc,91,-0.8343394122800032,uniform
135,implementation_smell_density_per_kloc,91,-0.8099045222529244,uniform
135,"pooled (non-independent, see caveat)",274,-0.7467678574383843,uniform
136,cyclomatic_complexity_p90,92,-0.7040786051492398,uniform
136,design_smell_density_per_kloc,91,-0.8536911682726767,uniform
136,implementation_smell_density_per_kloc,91,-0.7705985873434252,uniform
136,"pooled (non-independent, see caveat)",274,-0.7587061023330159,uniform
137,cyclomatic_complexity_p90,92,-0.7864617850592605,uniform
137,design_smell_density_per_kloc,91,-0.8141594329855858,uniform
137,implementation_smell_density_per_kloc,91,-0.8294937847888582,uniform
137,"pooled (non-independent, see caveat)",274,-0.7923806195854671,uniform
138,cyclomatic_complexity_p90,92,-0.7808825115977991,uniform
138,design_smell_density_per_kloc,91,-0.8504738392928248,uniform
138,implementation_smell_density_per_kloc,91,-0.7959372188025069,uniform
138,"pooled (non-independent, see caveat)",274,-0.7955383709374869,uniform
139,cyclomatic_complexity_p90,92,-0.6732555003275151,uniform
139,design_smell_density_per_kloc,91,-0.8470991126852925,uniform
139,implementation_smell_density_per_kloc,91,-0.8676530311596685,uniform
139,"pooled (non-independent, see caveat)",274,-0.7689528848464663,uniform
140,cyclomatic_complexity_p90,91,-0.7078946949306407,uniform
140,design_smell_density_per_kloc,91,-0.8340049374850681,uniform
140,implementation_smell_density_per_kloc,91,-0.8297486044641222,uniform
140,"pooled (non-independent, see caveat)",273,-0.7654039267634841,uniform
141,cyclomatic_complexity_p90,92,-0.7259045197087042,uniform
141,design_smell_density_per_kloc,91,-0.8418730588516367,uniform
141,implementation_smell_density_per_kloc,91,-0.7930386449963768,uniform
141,"pooled (non-independent, see caveat)",274,-0.7724041474465456,uniform
142,cyclomatic_complexity_p90,92,-0.7276461295418641,uniform
142,design_smell_density_per_kloc,91,-0.7450187146611452,uniform
142,implementation_smell_density_per_kloc,91,-0.7926564154834805,uniform
142,"pooled (non-independent, see caveat)",274,-0.7427344862950167,uniform
143,cyclomatic_complexity_p90,92,-0.6486698930365894,uniform
143,design_smell_density_per_kloc,91,-0.8770247670621963,uniform
143,implementation_smell_density_per_kloc,91,-0.8733864738531124,uniform
143,"pooled (non-independent, see caveat)",274,-0.7727776940001232,uniform
144,cyclomatic_complexity_p90,91,-0.6148719132976055,uniform
144,design_smell_density_per_kloc,91,-0.8203392530062914,uniform
144,implementation_smell_density_per_kloc,91,-0.8147460960829439,uniform
144,"pooled (non-independent, see caveat)",273,-0.7348162547978375,uniform
145,cyclomatic_complexity_p90,92,-0.637128655646746,uniform
145,design_smell_density_per_kloc,91,-0.8716413156008601,uniform
145,implementation_smell_density_per_kloc,91,-0.7908408252972234,uniform
145,"pooled (non-independent, see caveat)",274,-0.7446665896625468,uniform
146,cyclomatic_complexity_p90,92,-0.621346279813509,uniform
146,design_smell_density_per_kloc,91,-0.8785219399538106,uniform
146,implementation_smell_density_per_kloc,91,-0.8553739080578759,uniform
146,"pooled (non-independent, see caveat)",274,-0.7555889240074344,uniform
147,cyclomatic_complexity_p90,92,-0.7613686279042883,uniform
147,design_smell_density_per_kloc,91,-0.8546308831727324,uniform
147,implementation_smell_density_per_kloc,91,-0.8575558015273254,uniform
147,"pooled (non-independent, see caveat)",274,-0.8150821902305107,uniform
148,cyclomatic_complexity_p90,91,-0.583325370281892,uniform
148,design_smell_density_per_kloc,91,-0.76314406307239,uniform
148,implementation_smell_density_per_kloc,91,-0.7720956529356023,uniform
148,"pooled (non-independent, see caveat)",273,-0.6910398975165941,uniform
149,cyclomatic_complexity_p90,92,-0.7307769369480449,uniform
149,design_smell_density_per_kloc,91,-0.7851079079397947,uniform
149,implementation_smell_density_per_kloc,91,-0.8289045142898097,uniform
149,"pooled (non-independent, see caveat)",274,-0.770562208664186,uniform
150,cyclomatic_complexity_p90,91,-0.5702784701263747,uniform
150,design_smell_density_per_kloc,91,-0.8265827825117464,uniform
150,implementation_smell_density_per_kloc,91,-0.7638936446380366,uniform
150,"pooled (non-independent, see caveat)",273,-0.6918189305945438,uniform
151,cyclomatic_complexity_p90,92,-0.72955727661542,uniform
151,design_smell_density_per_kloc,91,-0.7445727482678983,uniform
151,implementation_smell_density_per_kloc,91,-0.7906497105407753,uniform
151,"pooled (non-independent, see caveat)",274,-0.7510608484220572,uniform
152,cyclomatic_complexity_p90,92,-0.7292511135428387,uniform
152,design_smell_density_per_kloc,91,-0.75686867882456,uniform
152,implementation_smell_density_per_kloc,91,-0.8079472836076375,uniform
152,"pooled (non-independent, see caveat)",274,-0.7497340214950172,uniform
153,cyclomatic_complexity_p90,92,-0.7067005741147457,uniform
153,design_smell_density_per_kloc,91,-0.8737148097557308,uniform
153,implementation_smell_density_per_kloc,91,-0.8676211787002603,uniform
153,"pooled (non-independent, see caveat)",274,-0.7944297266018033,uniform
154,cyclomatic_complexity_p90,90,-0.6366958883812815,uniform
154,design_smell_density_per_kloc,90,-0.7495781024902244,uniform
154,implementation_smell_density_per_kloc,90,-0.7578622435907909,uniform
154,"pooled (non-independent, see caveat)",270,-0.7054694560180095,uniform
155,cyclomatic_complexity_p90,92,-0.5911872139081116,uniform
155,design_smell_density_per_kloc,91,-0.726829656765151,uniform
155,implementation_smell_density_per_kloc,91,-0.8534468342636907,uniform
155,"pooled (non-independent, see caveat)",274,-0.715122907231946,uniform
156,cyclomatic_complexity_p90,92,-0.6676299464416444,uniform
156,design_smell_density_per_kloc,91,-0.7829258580871227,uniform
156,implementation_smell_density_per_kloc,91,-0.7752123174012402,uniform
156,"pooled (non-independent, see caveat)",274,-0.7244580724903549,uniform
157,cyclomatic_complexity_p90,92,-0.6438793203097907,uniform
157,design_smell_density_per_kloc,91,-0.8977781317193598,uniform
157,implementation_smell_density_per_kloc,91,-0.8165935387286092,uniform
157,"pooled (non-independent, see caveat)",274,-0.745197451396983,uniform
158,cyclomatic_complexity_p90,91,-0.6048893135849658,uniform
158,design_smell_density_per_kloc,91,-0.8258511534441406,uniform
158,implementation_smell_density_per_kloc,91,-0.8095541451994362,uniform
158,"pooled (non-independent, see caveat)",273,-0.7248687172543025,uniform
159,cyclomatic_complexity_p90,91,-0.680710946893987,uniform
159,design_smell_density_per_kloc,91,-0.8534841124472407,uniform
159,implementation_smell_density_per_kloc,91,-0.8322330962979478,uniform
159,"pooled (non-independent, see caveat)",273,-0.7842275396849941,uniform
160,cyclomatic_complexity_p90,92,-0.6948175548106191,uniform
160,design_smell_density_per_kloc,91,-0.8510790793979455,uniform
160,implementation_smell_density_per_kloc,91,-0.8571576457847251,uniform
160,"pooled (non-independent, see caveat)",274,-0.7708164886821445,uniform
161,cyclomatic_complexity_p90,92,-0.6492863968435005,uniform
161,design_smell_density_per_kloc,91,-0.7856488677434904,uniform
161,implementation_smell_density_per_kloc,91,-0.85265052277849,uniform
161,"pooled (non-independent, see caveat)",274,-0.7382823911002397,uniform
162,cyclomatic_complexity_p90,91,-0.5693888683219401,uniform
162,design_smell_density_per_kloc,91,-0.7857768575296648,uniform
162,implementation_smell_density_per_kloc,91,-0.79170084170124,uniform
162,"pooled (non-independent, see caveat)",273,-0.6922843839101176,uniform
163,cyclomatic_complexity_p90,92,-0.6674141717720493,uniform
163,design_smell_density_per_kloc,91,-0.868742534044756,uniform
163,implementation_smell_density_per_kloc,91,-0.8518860637526975,uniform
163,"pooled (non-independent, see caveat)",274,-0.7675618978948707,uniform
164,cyclomatic_complexity_p90,92,-0.6331623826286072,uniform
164,design_smell_density_per_kloc,91,-0.8524488333200606,uniform
164,implementation_smell_density_per_kloc,91,-0.7992976532700531,uniform
164,"pooled (non-independent, see caveat)",274,-0.7493729924053296,uniform
165,cyclomatic_complexity_p90,92,-0.7710767238987701,uniform
165,design_smell_density_per_kloc,91,-0.8115473441108545,uniform
165,implementation_smell_density_per_kloc,91,-0.8427444079025953,uniform
165,"pooled (non-independent, see caveat)",274,-0.7943773558819351,uniform
166,cyclomatic_complexity_p90,92,-0.6467152159673255,uniform
166,design_smell_density_per_kloc,91,-0.783101059170184,uniform
166,implementation_smell_density_per_kloc,91,-0.7479524596898378,uniform
166,"pooled (non-independent, see caveat)",274,-0.7092022392549838,uniform
167,cyclomatic_complexity_p90,92,-0.6967417773804754,uniform
167,design_smell_density_per_kloc,91,-0.8143505614398343,uniform
167,implementation_smell_density_per_kloc,91,-0.8199380469664513,uniform
167,"pooled (non-independent, see caveat)",274,-0.7685025259076291,uniform
168,cyclomatic_complexity_p90,92,-0.726738899249418,uniform
168,design_smell_density_per_kloc,91,-0.7831488412837462,uniform
168,implementation_smell_density_per_kloc,91,-0.8205385476082034,uniform
168,"pooled (non-independent, see caveat)",274,-0.7724626631058862,uniform
169,cyclomatic_complexity_p90,91,-0.5994075442550107,uniform
169,design_smell_density_per_kloc,91,-0.8441188181890579,uniform
169,implementation_smell_density_per_kloc,91,-0.807786333702291,uniform
169,"pooled (non-independent, see caveat)",273,-0.7343923760250335,uniform
170,cyclomatic_complexity_p90,92,-0.5952498381677507,uniform
170,design_smell_density_per_kloc,91,-0.7636696663215735,uniform
170,implementation_smell_density_per_kloc,91,-0.8305289897196189,uniform
170,"pooled (non-independent, see caveat)",274,-0.7118738345466834,uniform
171,cyclomatic_complexity_p90,92,-0.6922436712518784,uniform
171,design_smell_density_per_kloc,91,-0.7621869157478257,uniform
171,implementation_smell_density_per_kloc,91,-0.8557879900301804,uniform
171,"pooled (non-independent, see caveat)",274,-0.7502158090852198,uniform
172,cyclomatic_complexity_p90,92,-0.6926930012484009,uniform
172,design_smell_density_per_kloc,91,-0.7444453292983993,uniform
172,implementation_smell_density_per_kloc,91,-0.7965105630718512,uniform
172,"pooled (non-independent, see caveat)",274,-0.7350942381392543,uniform
173,cyclomatic_complexity_p90,91,-0.679805701544832,uniform
173,design_smell_density_per_kloc,91,-0.8659348010532972,uniform
173,implementation_smell_density_per_kloc,91,-0.8454518669522771,uniform
173,"pooled (non-independent, see caveat)",273,-0.7811199539957104,uniform
174,cyclomatic_complexity_p90,92,-0.6877716469899201,uniform
174,design_smell_density_per_kloc,91,-0.803758859600223,uniform
174,implementation_smell_density_per_kloc,91,-0.8232347765151818,uniform
174,"pooled (non-independent, see caveat)",274,-0.7356342793272755,uniform
175,cyclomatic_complexity_p90,91,-0.644542479236178,uniform
175,design_smell_density_per_kloc,90,-0.8464540028812513,uniform
175,implementation_smell_density_per_kloc,90,-0.8061819604261168,uniform
175,"pooled (non-independent, see caveat)",271,-0.7408066192529261,uniform
176,cyclomatic_complexity_p90,92,-0.6394124809272074,uniform
176,design_smell_density_per_kloc,91,-0.781364975710759,uniform
176,implementation_smell_density_per_kloc,91,-0.8107645386569411,uniform
176,"pooled (non-independent, see caveat)",274,-0.7252417972406282,uniform
177,cyclomatic_complexity_p90,92,-0.6743089217869777,uniform
177,design_smell_density_per_kloc,91,-0.8179979294417458,uniform
177,implementation_smell_density_per_kloc,91,-0.8579061785808137,uniform
177,"pooled (non-independent, see caveat)",274,-0.7614345417549493,uniform
178,cyclomatic_complexity_p90,92,-0.6284051940045465,uniform
178,design_smell_density_per_kloc,91,-0.7552759417058215,uniform
178,implementation_smell_density_per_kloc,91,-0.7679548332125594,uniform
178,"pooled (non-independent, see caveat)",274,-0.6900064986810127,uniform
179,cyclomatic_complexity_p90,91,-0.6489884813136484,uniform
179,design_smell_density_per_kloc,91,-0.8686469698176316,uniform
179,implementation_smell_density_per_kloc,91,-0.842489588227331,uniform
179,"pooled (non-independent, see caveat)",273,-0.7613241751331148,uniform
180,cyclomatic_complexity_p90,91,-0.6916363404709386,uniform
180,design_smell_density_per_kloc,91,-0.8160872861166847,uniform
180,implementation_smell_density_per_kloc,91,-0.8040277434921443,uniform
180,"pooled (non-independent, see caveat)",273,-0.7553098642860776,uniform
181,cyclomatic_complexity_p90,92,-0.6322737255808576,uniform
181,design_smell_density_per_kloc,91,-0.7551485227363225,uniform
181,implementation_smell_density_per_kloc,91,-0.7834032760254502,uniform
181,"pooled (non-independent, see caveat)",274,-0.7106010171544178,uniform
182,cyclomatic_complexity_p90,91,-0.6627594005319402,uniform
182,design_smell_density_per_kloc,91,-0.8539460062116748,uniform
182,implementation_smell_density_per_kloc,91,-0.859610285159143,uniform
182,"pooled (non-independent, see caveat)",273,-0.7693508613718842,uniform
183,cyclomatic_complexity_p90,92,-0.6983778368589372,uniform
183,design_smell_density_per_kloc,91,-0.8800509675877997,uniform
183,implementation_smell_density_per_kloc,91,-0.8753931787958178,uniform
183,"pooled (non-independent, see caveat)",274,-0.8024340889120699,uniform
184,cyclomatic_complexity_p90,92,-0.6366196966066209,uniform
184,design_smell_density_per_kloc,91,-0.801529027633989,uniform
184,implementation_smell_density_per_kloc,91,-0.7655818249866617,uniform
184,"pooled (non-independent, see caveat)",274,-0.715263287846929,uniform
185,cyclomatic_complexity_p90,91,-0.625571358040421,uniform
185,design_smell_density_per_kloc,91,-0.8625627140240503,uniform
185,implementation_smell_density_per_kloc,91,-0.7883244810039896,uniform
185,"pooled (non-independent, see caveat)",273,-0.7309598668618758,uniform
186,cyclomatic_complexity_p90,92,-0.6781258428698032,uniform
186,design_smell_density_per_kloc,91,-0.8071195349207613,uniform
186,implementation_smell_density_per_kloc,91,-0.7921308499032482,uniform
186,"pooled (non-independent, see caveat)",274,-0.7464837702150398,uniform
187,cyclomatic_complexity_p90,90,-0.7418117463061282,uniform
187,design_smell_density_per_kloc,91,-0.8215211496487427,uniform
187,implementation_smell_density_per_kloc,91,-0.8491308260139036,uniform
187,"pooled (non-independent, see caveat)",272,-0.7841682097893573,uniform
188,cyclomatic_complexity_p90,92,-0.7333641582861327,uniform
188,design_smell_density_per_kloc,91,-0.8229194871386478,uniform
188,implementation_smell_density_per_kloc,91,-0.8269933667253283,uniform
188,"pooled (non-independent, see caveat)",274,-0.7765822171019635,uniform
189,cyclomatic_complexity_p90,92,-0.621996516807176,uniform
189,design_smell_density_per_kloc,91,-0.8451335714551805,uniform
189,implementation_smell_density_per_kloc,91,-0.8018617762523989,uniform
189,"pooled (non-independent, see caveat)",274,-0.7366288855536725,uniform
190,cyclomatic_complexity_p90,92,-0.6800061649905598,uniform
190,design_smell_density_per_kloc,91,-0.8350402166122481,uniform
190,implementation_smell_density_per_kloc,91,-0.8824007198655827,uniform
190,"pooled (non-independent, see caveat)",274,-0.7934887756999548,uniform
191,cyclomatic_complexity_p90,91,-0.7004116930378488,uniform
191,design_smell_density_per_kloc,91,-0.7796766743648961,uniform
191,implementation_smell_density_per_kloc,91,-0.8329019979455163,uniform
191,"pooled (non-independent, see caveat)",273,-0.7426128060374253,uniform
192,cyclomatic_complexity_p90,92,-0.7334432748177487,uniform
192,design_smell_density_per_kloc,91,-0.9267181651668392,uniform
192,implementation_smell_density_per_kloc,91,-0.882865163010167,uniform
192,"pooled (non-independent, see caveat)",274,-0.8153166285499427,uniform
193,cyclomatic_complexity_p90,92,-0.7125749425889678,uniform
193,design_smell_density_per_kloc,91,-0.8368400095564227,uniform
193,implementation_smell_density_per_kloc,91,-0.7676522348481832,uniform
193,"pooled (non-independent, see caveat)",274,-0.7590588465894622,uniform
194,cyclomatic_complexity_p90,92,-0.7244298369034744,uniform
194,design_smell_density_per_kloc,91,-0.7371028111810146,uniform
194,implementation_smell_density_per_kloc,91,-0.7949657187905621,uniform
194,"pooled (non-independent, see caveat)",274,-0.7315407807487473,uniform
195,cyclomatic_complexity_p90,92,-0.7087481890200671,uniform
195,design_smell_density_per_kloc,91,-0.8528788723421199,uniform
195,implementation_smell_density_per_kloc,91,-0.8775432198058593,uniform
195,"pooled (non-independent, see caveat)",274,-0.7929580295340054,uniform
196,cyclomatic_complexity_p90,91,-0.6431887497113372,uniform
196,design_smell_density_per_kloc,91,-0.8130763717448435,uniform
196,implementation_smell_density_per_kloc,91,-0.7968290876659314,uniform
196,"pooled (non-independent, see caveat)",273,-0.7323311372664052,uniform
197,cyclomatic_complexity_p90,92,-0.7089530385463064,uniform
197,design_smell_density_per_kloc,91,-0.7843115393804253,uniform
197,implementation_smell_density_per_kloc,91,-0.8194284076159232,uniform
197,"pooled (non-independent, see caveat)",274,-0.7440523814537966,uniform
198,cyclomatic_complexity_p90,92,-0.6605812134429692,uniform
198,design_smell_density_per_kloc,91,-0.8953412439276898,uniform
198,implementation_smell_density_per_kloc,91,-0.7968290876659314,uniform
198,"pooled (non-independent, see caveat)",274,-0.7482930376411951,uniform
199,cyclomatic_complexity_p90,92,-0.5975216928933619,uniform
199,design_smell_density_per_kloc,91,-0.7616453635632686,uniform
199,implementation_smell_density_per_kloc,91,-0.7662666528639343,uniform
199,"pooled (non-independent, see caveat)",274,-0.6820868816004322,uniform
200,cyclomatic_complexity_p90,92,-0.6686471698840211,uniform
200,design_smell_density_per_kloc,91,-0.8570040614796529,uniform
200,implementation_smell_density_per_kloc,91,-0.8593873179432867,uniform
200,"pooled (non-independent, see caveat)",274,-0.7725788329675638,uniform
201,cyclomatic_complexity_p90,92,-0.6775709937194158,uniform
201,design_smell_density_per_kloc,91,-0.816978577685753,uniform
201,implementation_smell_density_per_kloc,91,-0.8314367848127474,uniform
201,"pooled (non-independent, see caveat)",274,-0.7614587380424851,uniform
202,cyclomatic_complexity_p90,92,-0.5670932118858252,uniform
202,design_smell_density_per_kloc,91,-0.8484464778536555,uniform
202,implementation_smell_density_per_kloc,91,-0.8435884980769078,uniform
202,"pooled (non-independent, see caveat)",274,-0.7265439189169791,uniform
203,cyclomatic_complexity_p90,92,-0.6080238588811911,uniform
203,design_smell_density_per_kloc,91,-0.8333837700087602,uniform
203,implementation_smell_density_per_kloc,91,-0.7913345384180476,uniform
203,"pooled (non-independent, see caveat)",274,-0.7158657164041621,uniform
204,cyclomatic_complexity_p90,92,-0.6867105922244056,uniform
204,design_smell_density_per_kloc,91,-0.7929441745639884,uniform
204,implementation_smell_density_per_kloc,91,-0.7898693252852786,uniform
204,"pooled (non-independent, see caveat)",274,-0.724091322219072,uniform
205,cyclomatic_complexity_p90,91,-0.729636324544709,uniform
205,design_smell_density_per_kloc,91,-0.8063550211037668,uniform
205,implementation_smell_density_per_kloc,91,-0.8107963911163492,uniform
205,"pooled (non-independent, see caveat)",273,-0.7613408721413559,uniform
206,cyclomatic_complexity_p90,91,-0.6409750037824795,uniform
206,design_smell_density_per_kloc,91,-0.7963048498845267,uniform
206,implementation_smell_density_per_kloc,91,-0.8044418254644486,uniform
206,"pooled (non-independent, see caveat)",273,-0.7272186534480963,uniform
207,cyclomatic_complexity_p90,92,-0.648040688937695,uniform
207,design_smell_density_per_kloc,91,-0.7586190425319201,uniform
207,implementation_smell_density_per_kloc,91,-0.829286743802706,uniform
207,"pooled (non-independent, see caveat)",274,-0.7237506260288096,uniform
208,cyclomatic_complexity_p90,92,-0.6828136800086309,uniform
208,design_smell_density_per_kloc,91,-0.8265827825117464,uniform
208,implementation_smell_density_per_kloc,91,-0.8693889901974056,uniform
208,"pooled (non-independent, see caveat)",274,-0.7667190041736804,uniform
209,cyclomatic_complexity_p90,91,-0.6258928642527812,uniform
209,design_smell_density_per_kloc,91,-0.8400573385362746,uniform
209,implementation_smell_density_per_kloc,91,-0.8167545938350181,uniform
209,"pooled (non-independent, see caveat)",273,-0.7311604784084721,uniform
210,cyclomatic_complexity_p90,92,-0.7328576052278717,uniform
210,design_smell_density_per_kloc,91,-0.8360754957394283,uniform
210,implementation_smell_density_per_kloc,91,-0.861362170426584,uniform
210,"pooled (non-independent, see caveat)",274,-0.7862244900191531,uniform
211,cyclomatic_complexity_p90,92,-0.6822717990213076,uniform
211,design_smell_density_per_kloc,91,-0.841809349366887,uniform
211,implementation_smell_density_per_kloc,91,-0.8217217846933005,uniform
211,"pooled (non-independent, see caveat)",274,-0.7485237960230872,uniform
212,cyclomatic_complexity_p90,92,-0.6533760769384893,uniform
212,design_smell_density_per_kloc,91,-0.8787608505216215,uniform
212,implementation_smell_density_per_kloc,91,-0.7802498825440559,uniform
212,"pooled (non-independent, see caveat)",274,-0.7298002064526518,uniform
213,cyclomatic_complexity_p90,92,-0.6894540130235425,uniform
213,design_smell_density_per_kloc,91,-0.797849804889703,uniform
213,implementation_smell_density_per_kloc,91,-0.8465507768018539,uniform
213,"pooled (non-independent, see caveat)",274,-0.7568936034646624,uniform
214,cyclomatic_complexity_p90,91,-0.606924724675304,uniform
214,design_smell_density_per_kloc,91,-0.821151548936848,uniform
214,implementation_smell_density_per_kloc,91,-0.7700093168443768,uniform
214,"pooled (non-independent, see caveat)",273,-0.7036408573668964,uniform
215,cyclomatic_complexity_p90,92,-0.7318999730281662,uniform
215,design_smell_density_per_kloc,91,-0.7673807438082344,uniform
